city_a_estimate,city_b_estimate,click_events,comprehension_ease,condition,condition_id,condition_name,confidence_label,confidence_rating,data_trust,display_format,end_time,hover_events,interaction_log,internal_node_id,participant_id,percent_score,phase,phase1_complete,phase2_complete,predictions_shown,probability_estimate,question_order,response,responses,round,rt,rt_total,skeptical_rating,start_time,stimulus,success,time_elapsed,time_on_viz,total_interactions,total_questions,total_score,travel_choice,trial_index,trial_type,trust_composite,usability_composite,usability_difficulty,view_history,visualization_literacy_score,visualization_shown
,,,,,,,,,,,,,,0.0-0.0,682c3f62f2680e9a67130379,,,,,,,,0,,,21315,,,,"
	        <div class=""welcome-screen"">
	            <h1>Air Quality Prediction Study</h1>
	            <p>Welcome! You are about to participate in a research study about how people make decisions using air quality predictions. This study examines how different ways of presenting prediction information affect trust and decision-making. The study will take approximately 15 minutes.</p>
	            <div class=""study-info"">
	                <h3>What you'll do:</h3>
	                <ul>
	                    <li>Complete a brief assessment of visualization understanding</li>
	                    <li>Make predictions about air quality in two cities</li>
	                    <li>Answer questions about your confidence and trust</li>
						<li>Report basic demographic data</li>
	                </ul>
	            </div>
	        </div>
	    ",,21321,,,,,,0,html-button-response,,,,,,
,,,,,,,,,,,,,,0.0-1.0,682c3f62f2680e9a67130379,,,,,,,,,,,2406,,,,,true,24735,,,,,,1,fullscreen,,,,,,
,,,,,,,,,,,,,,0.0-2.0,682c3f62f2680e9a67130379,,,,,,,,"{""participant_id"":""682c3f62f2680e9a67130379""}",,,5979,,,,,,30727,,,,,,2,survey-text,,,,,,
,,,,,,,,,,,,,,0.0-3.0,682c3f62f2680e9a67130379,,,,,,,,0,,,69935,,,,"
	        <div class=""consent-form"">
	            <h2>Consent Form</h2>
	            <div class=""consent-header"">
	                <p><strong>Principal Investigator:</strong> Dr. Cindy Xiong Bearfield, Assistant Professor</p>
	                <p><strong>Study Title:</strong> Trusting What We See: Effect of Interactivity in Visual Data Analysis</p>
	                <p><strong>Supported By:</strong> Georgia Institute of Technology</p>
	            </div>
	            
	            <div class=""consent-details"">
	                <h3>WHAT IS THIS FORM?</h3>
	                <p>This form is called a Consent Form. It will give you information about the study so you can make an informed decision about participation in this research. We encourage you to take some time to think this over and ask questions now and at any other time. If you decide to participate, you will be asked to sign this form and you will be given a copy for your records.</p>

	                <h3>WHAT ARE SOME OF THE IMPORTANT ASPECTS OF THIS RESEARCH STUDY THAT I SHOULD BE AWARE OF?</h3>
	                <ul>
	                    <li>Whether or not you take part is up to you.</li>
	                    <li>You can choose not to take part.</li>
	                    <li>You can agree to take part and later change your mind.</li>
	                    <li>Your decision will not be held against you.</li>
	                </ul>

	                <h3>WHY ARE WE DOING THIS RESEARCH STUDY?</h3>
	                <p>The purpose of our study is to explore the visualization design space so we can understand how people perceive, interpret, and make decisions from visualizations. The results from this study can help us design visualizations and visualization guidelines to help people better communicate and understand data.</p>

	                <h3>WHO CAN PARTICIPATE IN THIS RESEARCH STUDY?</h3>
	                <p>Participants in this study must be at least 18 years of age or older and have general familiarity with using web-based systems. Participants currently outside of the U.S. cannot participate in this study (e.g. in the European Union or China).</p>

	                <h3>WHAT COMPENSATION I WILL RECEIVE?</h3>
	                <p>You will receive payment through Prolific worth $12/hour for participating in this study. We expect this study to take less than 20 minutes. Your participation is entirely voluntary. You are free to withdraw at any time, and if you do, you will receive partial payment for your time.</p>

	                <h3>HOW MANY PEOPLE WILL PARTICIPATE?</h3>
	                <p>We expect about 200 people will be in this research study.</p>

	                <h3>WHAT WILL I BE ASKED TO DO AND HOW MUCH TIME WILL IT TAKE?</h3>
	                <p>We will show you several data visualizations or components of a visualization and ask you to perform a visual task with the visualization on a computer screen, such as counting, searching, recognizing, memorizing, or describing the information presented to you. We may also ask you to fill out questionnaires concerning your thoughts regarding the visualization you saw. We expect that you will be in this research study to take between 15 and 60 minutes. We expect this study to be a one-off session and will not contact you regarding the study itself in the future.</p>

	                <h3>WILL BEING IN THIS RESEARCH STUDY HELP ME IN ANY WAY?</h3>
	                <p>You are not likely to have any direct benefit from being in this research study. The potential benefits to you from participation may include learning about how data visualization research is conducted, and you may learn about issues of current interest in data visualization and psychology.</p>

	                <h3>WHAT ARE MY RISKS OF BEING IN THIS RESEARCH STUDY?</h3>
	                <p>Your participation in this study does not involve any risks other than what you would encounter in daily life. In particular, you may experience fatigue or boredom, however, you may take breaks between tasks. The effects of participating should be comparable to those you would experience from viewing a computer monitor and using a keyboard. You may withdraw at any time.</p>

	                <h3>HOW WILL MY PERSONAL INFORMATION BE PROTECTED?</h3>
	                <p>We will comply with any applicable laws and regulations regarding confidentiality. To make sure that this research is being carried out in the proper way, the Georgia Institute of Technology IRB may review study records. The Office of Human Research Protections may also look at study records.</p>
	                <p>Efforts will be made to limit the use and disclosure of your personal information, including research study records, to people who need to review this information. We cannot promise complete secrecy. Organizations that may inspect and copy your information include the IRB and other representatives of this institution. Please be notified that our data privacy policy is based on U.S. regulations. Participants who are out of the U.S. might be excluded due to different data privacy requirements.</p>
	                <p><strong>Data Sharing:</strong> De-identified data from this study will be shared among the GATech research team, as well as the research community at large to advance science and health. We will remove or code any personal information that could identify you before files are shared with other researchers to ensure that, by current scientific standards and known methods, no one will be able to identify you from the information we share. Despite these measures, we cannot guarantee the anonymity of your personal data.</p>

	                <h3>WILL I BE GIVEN ANY MONEY OR OTHER COMPENSATION FOR BEING IN THIS RESEARCH STUDY?</h3>
	                <p>If you agree to take part in this research study, we will provide compensation. You will be paid in accordance with the stated policies of Amazon Mechanical Turk and/or Prolific.com. Payment will be made upon completion and acceptance of tasks that you have agreed to complete and you will be paid via Mechanical Turk or Prolific.com. If you choose to withdraw from the study, you will not be compensated for your participation.</p>

	                <h3>WHAT ELSE DO I NEED TO KNOW?</h3>
	                <p>We might be using attention check questions in our surveys. If you miss 2 or more attention check questions, your HIT will not be accepted and you will not be compensated.</p>

	                <h3>WHO CAN I TALK TO IF I HAVE QUESTIONS?</h3>
	                <p>If you have any questions about the content of this research project, you may contact Dr. Cindy Xiong Bearfield at cxiong@gatech.edu, or contact Songwen Hu at shu343@gatech.edu. If you have any questions about your rights as a research subject, you may also contact Georgia Institute of Technology Office of Research Integrity Assurance at IRB@gatech.edu.</p>

	                <h3>WHAT HAPPENS IF I SAY YES, BUT I CHANGE MY MIND LATER?</h3>
	                <p>You can decide not to participate in this research or you can start and then decide to leave the research at any time and it will not be held against you. To do so, simply exit the experiment. Any data already collected will not be saved.</p>

	                <p><strong>By clicking ""I agree"" below you are indicating that you are at least 18 years old, currently in the U.S., have read this consent form, and agree to participate in this research study. Please print a copy of this page for your records.</strong></p>
	            </div>
	        </div>
	    ",,100667,,,,,,3,html-button-response,,,,,,
,,,,,,,,,,,,,,0.0-4.0,682c3f62f2680e9a67130379,,,,,,,,0,,,8317,,,,"
	        <div class=""vis-literacy-intro"">
	            <h2>Visualization Assessment</h2>
	            <p>Before we begin the main study, we'd like to assess your ability to read and interpret data visualizations.</p>
	            
	            <div class=""assessment-info"">
	                <h3>What you'll do:</h3>
	                <ul>
	                    <li>View 12 different data visualizations (charts and graphs)</li>
	                    <li>Answer questions about what each visualization shows</li>
	                    <li>Take your time to examine each chart carefully</li>
	                </ul>
	                
	                <p><strong>This assessment will take approximately 5-10 minutes.</strong></p>
	                <p>There are no right or wrong interpretations - we're interested in how you read visualizations.</p>
	            </div>
	        </div>
	    ",,108989,,,,,,4,html-button-response,,,,,,
,,,,,condition_8_bad,Bad Control,,,,,,,,0.0-5.0,682c3f62f2680e9a67130379,25,,,,,,,,"[{""question_id"":""minivlat_1"",""question_type"":""line_chart"",""question_text"":""What was the price range of a barrel of oil in 2020?"",""response"":0,""correct_answer"":0,""is_correct"":true,""rt"":65136.29999999702},{""question_id"":""minivlat_2"",""question_type"":""bar_chart"",""question_text"":""What is the range of the average internet speed in Asia?"",""response"":3,""correct_answer"":3,""is_correct"":true,""rt"":96538.60000000894},{""question_id"":""minivlat_3"",""question_type"":""stacked_bar"",""question_text"":""What is the cost of peanuts in Las Vegas?"",""response"":0,""correct_answer"":1,""is_correct"":false,""rt"":88531.40000000596},{""question_id"":""minivlat_4"",""question_type"":""stacked_100_bar"",""question_text"":""What is the approval rating of Republicans among postgraduate-educated people?"",""response"":3,""correct_answer"":1,""is_correct"":false,""rt"":33612.29999999702},{""question_id"":""minivlat_5"",""question_type"":""pie_chart"",""question_text"":""About what is the global smartphone market share of Samsung?"",""response"":3,""correct_answer"":1,""is_correct"":false,""rt"":59061.29999999702},{""question_id"":""minivlat_6"",""question_type"":""histogram"",""question_text"":""How many people have rated the taxi between 4.2 and 4.4?"",""response"":0,""correct_answer"":1,""is_correct"":false,""rt"":86490.60000000894},{""question_id"":""minivlat_7"",""question_type"":""scatter_plot"",""question_text"":""There is a negative linear relationship between the height and the weight of the 85 males."",""response"":1,""correct_answer"":1,""is_correct"":true,""rt"":21058},{""question_id"":""minivlat_8"",""question_type"":""area_chart"",""question_text"":""What was the average price of a pound of coffee beans in September 2013?"",""response"":3,""correct_answer"":0,""is_correct"":false,""rt"":19372.70000000298},{""question_id"":""minivlat_9"",""question_type"":""stacked_area"",""question_text"":""What was the number of girls named 'Olivia' in 2010 in the UK?"",""response"":0,""correct_answer"":2,""is_correct"":false,""rt"":30667.39999999106},{""question_id"":""minivlat_10"",""question_type"":""bubble_chart"",""question_text"":""What is the total length of the metro system in Beijing?"",""response"":1,""correct_answer"":0,""is_correct"":false,""rt"":31127.20000000298},{""question_id"":""minivlat_11"",""question_type"":""choropleth"",""question_text"":""In 2015, the unemployment rate for Washington (WA) was higher than that of Wisconsin (WI)."",""response"":1,""correct_answer"":0,""is_correct"":false,""rt"":30359.20000000298},{""question_id"":""minivlat_12"",""question_type"":""bubble_chart_multi"",""question_text"":""For which website was the number of unique visitors the largest in 2010?"",""response"":0,""correct_answer"":3,""is_correct"":false,""rt"":44967.10000000894}]",,,606922.1000000238,,,,,715914,,,12,3,,5,vis-literacy,,,,,,
,,,,,,,,,,,,,,0.0-6.0,682c3f62f2680e9a67130379,,,,,,,,,,,11156,,,,,,727073,,,,,,6,instructions,,,,"[{""page_index"":0,""viewing_time"":11154}]",,
89,80,,,,condition_0_historical,Historical Only,Very Certain,7,,historical_only,,,"[{""type"":""chart_enter"",""data"":{""timestamp"":4319.20000000298},""timestamp"":4319.4000000059605},{""type"":""chart_leave"",""data"":{""timestamp"":6507.20000000298},""timestamp"":6507.20000000298},{""type"":""chart_enter"",""data"":{""timestamp"":9822.40000000596},""timestamp"":9822.40000000596},{""type"":""chart_leave"",""data"":{""timestamp"":19139.20000000298},""timestamp"":19139.20000000298},{""type"":""chart_enter"",""data"":{""timestamp"":30040.5},""timestamp"":30040.5},{""type"":""chart_leave"",""data"":{""timestamp"":32854.79999999702},""timestamp"":32854.79999999702},{""type"":""chart_enter"",""data"":{""timestamp"":33178.29999999702},""timestamp"":33178.29999999702},{""type"":""chart_leave"",""data"":{""timestamp"":63829.20000000298},""timestamp"":63829.20000000298},{""type"":""chart_enter"",""data"":{""timestamp"":66238.70000000298},""timestamp"":66238.79999999702},{""type"":""chart_hover"",""data"":{""x"":758,""y"":356,""timestamp"":66239.20000000298},""timestamp"":66239.29999999702},{""type"":""chart_hover"",""data"":{""x"":808,""y"":314,""timestamp"":66288.70000000298},""timestamp"":66288.90000000596},{""type"":""chart_hover"",""data"":{""x"":871,""y"":271,""timestamp"":66305.40000000596},""timestamp"":66305.5},{""type"":""chart_hover"",""data"":{""x"":904,""y"":255,""timestamp"":66321.09999999404},""timestamp"":66321.20000000298},{""type"":""chart_hover"",""data"":{""x"":948,""y"":242,""timestamp"":66336.40000000596},""timestamp"":66336.5},{""type"":""chart_hover"",""data"":{""x"":980,""y"":236,""timestamp"":66353.20000000298},""timestamp"":66353.20000000298},{""type"":""chart_hover"",""data"":{""x"":1012,""y"":232,""timestamp"":66369.90000000596},""timestamp"":66369.90000000596},{""type"":""chart_hover"",""data"":{""x"":1038,""y"":232,""timestamp"":66388.5},""timestamp"":66388.5},{""type"":""chart_hover"",""data"":{""x"":1068,""y"":237,""timestamp"":66404.79999999702},""timestamp"":66404.79999999702},{""type"":""chart_hover"",""data"":{""x"":1095,""y"":248,""timestamp"":66421.20000000298},""timestamp"":66421.29999999702},{""type"":""chart_hover"",""data"":{""x"":1118,""y"":260,""timestamp"":66437.90000000596},""timestamp"":66437.90000000596},{""type"":""chart_hover"",""data"":{""x"":1146,""y"":273,""timestamp"":66452.59999999404},""timestamp"":66452.70000000298},{""type"":""chart_hover"",""data"":{""x"":1160,""y"":284,""timestamp"":66469.09999999404},""timestamp"":66469.09999999404},{""type"":""chart_hover"",""data"":{""x"":1172,""y"":294,""timestamp"":66488.40000000596},""timestamp"":66488.40000000596},{""type"":""chart_hover"",""data"":{""x"":1191,""y"":312,""timestamp"":66505.29999999702},""timestamp"":66505.29999999702},{""type"":""chart_hover"",""data"":{""x"":1196,""y"":318,""timestamp"":66520.79999999702},""timestamp"":66520.79999999702},{""type"":""chart_leave"",""data"":{""timestamp"":66537},""timestamp"":66537},{""type"":""chart_enter"",""data"":{""timestamp"":66637.40000000596},""timestamp"":66637.5},{""type"":""chart_hover"",""data"":{""x"":1182,""y"":382,""timestamp"":66637.59999999404},""timestamp"":66637.59999999404},{""type"":""chart_hover"",""data"":{""x"":1171,""y"":382,""timestamp"":66652.70000000298},""timestamp"":66652.79999999702},{""type"":""chart_hover"",""data"":{""x"":1140,""y"":383,""timestamp"":66669.90000000596},""timestamp"":66669.90000000596},{""type"":""chart_hover"",""data"":{""x"":1118,""y"":380,""timestamp"":66686.40000000596},""timestamp"":66686.40000000596},{""type"":""chart_hover"",""data"":{""x"":1107,""y"":376,""timestamp"":66705.09999999404},""timestamp"":66705.09999999404},{""type"":""chart_hover"",""data"":{""x"":1103,""y"":375,""timestamp"":66721.70000000298},""timestamp"":66721.70000000298},{""type"":""chart_hover"",""data"":{""x"":1096,""y"":371,""timestamp"":66737.29999999702},""timestamp"":66737.29999999702},{""type"":""chart_hover"",""data"":{""x"":1087,""y"":360,""timestamp"":66752.90000000596},""timestamp"":66752.90000000596},{""type"":""chart_hover"",""data"":{""x"":1070,""y"":330,""timestamp"":66769.79999999702},""timestamp"":66769.79999999702},{""type"":""chart_hover"",""data"":{""x"":1056,""y"":298,""timestamp"":66786.5},""timestamp"":66786.5},{""type"":""chart_hover"",""data"":{""x"":1050,""y"":282,""timestamp"":66802.20000000298},""timestamp"":66802.20000000298},{""type"":""chart_hover"",""data"":{""x"":1047,""y"":274,""timestamp"":66821.20000000298},""timestamp"":66821.20000000298},{""type"":""chart_hover"",""data"":{""x"":1046,""y"":269,""timestamp"":66836.5},""timestamp"":66836.5},{""type"":""chart_hover"",""data"":{""x"":1044,""y"":261,""timestamp"":66852.20000000298},""timestamp"":66852.29999999702},{""type"":""chart_hover"",""data"":{""x"":1041,""y"":238,""timestamp"":66867.59999999404},""timestamp"":66867.70000000298},{""type"":""chart_hover"",""data"":{""x"":1040,""y"":200,""timestamp"":66884.59999999404},""timestamp"":66884.59999999404},{""type"":""chart_hover"",""data"":{""x"":1040,""y"":181,""timestamp"":66901.40000000596},""timestamp"":66901.5},{""type"":""chart_hover"",""data"":{""x"":1041,""y"":170,""timestamp"":66918.09999999404},""timestamp"":66918.29999999702},{""type"":""chart_hover"",""data"":{""x"":1042,""y"":164,""timestamp"":66935.79999999702},""timestamp"":66935.79999999702},{""type"":""chart_hover"",""data"":{""x"":1042,""y"":161,""timestamp"":66951.79999999702},""timestamp"":66951.79999999702},{""type"":""chart_hover"",""data"":{""x"":1044,""y"":154,""timestamp"":66967.90000000596},""timestamp"":66967.90000000596},{""type"":""chart_hover"",""data"":{""x"":1046,""y"":142,""timestamp"":66983.79999999702},""timestamp"":66983.90000000596},{""type"":""chart_hover"",""data"":{""x"":1050,""y"":129,""timestamp"":67001.40000000596},""timestamp"":67001.40000000596},{""type"":""chart_hover"",""data"":{""x"":1054,""y"":116,""timestamp"":67017.20000000298},""timestamp"":67017.20000000298},{""type"":""chart_leave"",""data"":{""timestamp"":67035.20000000298},""timestamp"":67035.20000000298},{""type"":""chart_enter"",""data"":{""timestamp"":68662.5},""timestamp"":68662.70000000298},{""type"":""chart_hover"",""data"":{""x"":1018,""y"":132,""timestamp"":68662.70000000298},""timestamp"":68662.70000000298},{""type"":""chart_hover"",""data"":{""x"":978,""y"":166,""timestamp"":68681},""timestamp"":68681},{""type"":""chart_hover"",""data"":{""x"":946,""y"":199,""timestamp"":68698.29999999702},""timestamp"":68698.29999999702},{""type"":""chart_hover"",""data"":{""x"":924,""y"":221,""timestamp"":68715.29999999702},""timestamp"":68715.29999999702},{""type"":""chart_hover"",""data"":{""x"":908,""y"":234,""timestamp"":68732.40000000596},""timestamp"":68732.40000000596},{""type"":""chart_hover"",""data"":{""x"":893,""y"":252,""timestamp"":68747.90000000596},""timestamp"":68747.90000000596},{""type"":""chart_hover"",""data"":{""x"":883,""y"":264,""timestamp"":68763.59999999404},""timestamp"":68763.59999999404},{""type"":""chart_hover"",""data"":{""x"":874,""y"":278,""timestamp"":68782.70000000298},""timestamp"":68782.70000000298},{""type"":""chart_hover"",""data"":{""x"":860,""y"":299,""timestamp"":68799},""timestamp"":68799},{""type"":""chart_hover"",""data"":{""x"":839,""y"":342,""timestamp"":68815.90000000596},""timestamp"":68815.90000000596},{""type"":""chart_hover"",""data"":{""x"":833,""y"":353,""timestamp"":68831.29999999702},""timestamp"":68831.29999999702},{""type"":""chart_hover"",""data"":{""x"":823,""y"":376,""timestamp"":68848},""timestamp"":68848},{""type"":""chart_hover"",""data"":{""x"":814,""y"":393,""timestamp"":68865},""timestamp"":68865},{""type"":""chart_leave"",""data"":{""timestamp"":69880.70000000298},""timestamp"":69880.79999999702},{""type"":""chart_enter"",""data"":{""timestamp"":73081.09999999404},""timestamp"":73081.20000000298},{""type"":""chart_hover"",""data"":{""x"":808,""y"":402,""timestamp"":73487.70000000298},""timestamp"":73487.70000000298},{""type"":""chart_hover"",""data"":{""x"":803,""y"":409,""timestamp"":73495.20000000298},""timestamp"":73495.20000000298},{""type"":""chart_hover"",""data"":{""x"":791,""y"":422,""timestamp"":73512.29999999702},""timestamp"":73512.29999999702},{""type"":""chart_hover"",""data"":{""x"":782,""y"":437,""timestamp"":73528.79999999702},""timestamp"":73528.79999999702},{""type"":""chart_hover"",""data"":{""x"":772,""y"":452,""timestamp"":73546.79999999702},""timestamp"":73546.79999999702},{""type"":""chart_hover"",""data"":{""x"":766,""y"":462,""timestamp"":73562.79999999702},""timestamp"":73562.79999999702},{""type"":""chart_hover"",""data"":{""x"":760,""y"":470,""timestamp"":73578.59999999404},""timestamp"":73578.59999999404},{""type"":""chart_hover"",""data"":{""x"":754,""y"":478,""timestamp"":73594.70000000298},""timestamp"":73594.79999999702},{""type"":""chart_hover"",""data"":{""x"":740,""y"":498,""timestamp"":73612.29999999702},""timestamp"":73612.29999999702},{""type"":""chart_hover"",""data"":{""x"":726,""y"":516,""timestamp"":73628.5},""timestamp"":73628.5},{""type"":""chart_hover"",""data"":{""x"":718,""y"":528,""timestamp"":73645.20000000298},""timestamp"":73645.29999999702},{""type"":""chart_hover"",""data"":{""x"":714,""y"":534,""timestamp"":73662.90000000596},""timestamp"":73662.90000000596},{""type"":""chart_hover"",""data"":{""x"":710,""y"":538,""timestamp"":73678.59999999404},""timestamp"":73678.59999999404},{""type"":""chart_leave"",""data"":{""timestamp"":73695},""timestamp"":73695},{""type"":""chart_enter"",""data"":{""timestamp"":74712},""timestamp"":74712},{""type"":""chart_hover"",""data"":{""x"":457,""y"":530,""timestamp"":74712.09999999404},""timestamp"":74712.09999999404},{""type"":""chart_hover"",""data"":{""x"":552,""y"":515,""timestamp"":74729.40000000596},""timestamp"":74729.40000000596},{""type"":""chart_hover"",""data"":{""x"":702,""y"":498,""timestamp"":74746.09999999404},""timestamp"":74746.09999999404},{""type"":""chart_hover"",""data"":{""x"":794,""y"":496,""timestamp"":74761.79999999702},""timestamp"":74761.79999999702},{""type"":""chart_hover"",""data"":{""x"":880,""y"":502,""timestamp"":74777.20000000298},""timestamp"":74777.20000000298},{""type"":""chart_hover"",""data"":{""x"":946,""y"":513,""timestamp"":74795.20000000298},""timestamp"":74795.40000000596},{""type"":""chart_hover"",""data"":{""x"":994,""y"":525,""timestamp"":74812.90000000596},""timestamp"":74812.90000000596},{""type"":""chart_hover"",""data"":{""x"":1026,""y"":536,""timestamp"":74830},""timestamp"":74830},{""type"":""chart_leave"",""data"":{""timestamp"":74846.20000000298},""timestamp"":74846.29999999702},{""type"":""chart_enter"",""data"":{""timestamp"":98407.5},""timestamp"":98407.5},{""type"":""chart_leave"",""data"":{""timestamp"":105966.59999999404},""timestamp"":105966.70000000298},{""type"":""chart_enter"",""data"":{""timestamp"":109127.59999999404},""timestamp"":109127.59999999404},{""type"":""chart_leave"",""data"":{""timestamp"":112430.70000000298},""timestamp"":112430.70000000298},{""type"":""chart_enter"",""data"":{""timestamp"":126360.79999999702},""timestamp"":126360.79999999702},{""type"":""chart_leave"",""data"":{""timestamp"":131106.90000000596},""timestamp"":131106.90000000596}]",0.0-7.0,682c3f62f2680e9a67130379,,1,,,false,100,,,,1,140688.90000000596,,,,,,867764,,98,,,City A,7,prediction-task,,,,,,true
90,95,0,,,condition_8_bad,Bad Control,Somewhat Certain,5,,poor_interactions,,12,"[{""type"":""chart_enter"",""data"":{""timestamp"":2369.7999999970198},""timestamp"":2369.8999999910593},{""type"":""chart_hover"",""data"":{""x"":708,""y"":330,""timestamp"":16261.89999999106},""timestamp"":16262},{""type"":""chart_hover"",""data"":{""x"":700,""y"":338,""timestamp"":16278.699999988079},""timestamp"":16278.699999988079},{""type"":""chart_hover"",""data"":{""x"":692,""y"":346,""timestamp"":16295.5},""timestamp"":16295.5},{""type"":""chart_leave"",""data"":{""timestamp"":16312.39999999106},""timestamp"":16312.5},{""type"":""chart_enter"",""data"":{""timestamp"":21072.89999999106},""timestamp"":21073},{""type"":""chart_hover"",""data"":{""x"":797,""y"":450,""timestamp"":22646.39999999106},""timestamp"":22646.39999999106},{""type"":""chart_hover"",""data"":{""x"":831,""y"":444,""timestamp"":22654.19999998808},""timestamp"":22654.19999998808},{""type"":""chart_hover"",""data"":{""x"":889,""y"":442,""timestamp"":22671.5},""timestamp"":22671.5},{""type"":""chart_hover"",""data"":{""x"":938,""y"":442,""timestamp"":22688.39999999106},""timestamp"":22688.39999999106},{""type"":""chart_hover"",""data"":{""x"":984,""y"":444,""timestamp"":22705.59999999404},""timestamp"":22705.69999998808},{""type"":""chart_hover"",""data"":{""x"":1014,""y"":447,""timestamp"":22721.89999999106},""timestamp"":22721.89999999106},{""type"":""chart_hover"",""data"":{""x"":1041,""y"":450,""timestamp"":22738.09999999404},""timestamp"":22738.09999999404},{""type"":""chart_hover"",""data"":{""x"":1070,""y"":456,""timestamp"":22754.19999998808},""timestamp"":22754.19999998808},{""type"":""chart_hover"",""data"":{""x"":1084,""y"":459,""timestamp"":22771.29999999702},""timestamp"":22771.29999999702},{""type"":""chart_leave"",""data"":{""timestamp"":22788},""timestamp"":22788},{""type"":""chart_enter"",""data"":{""timestamp"":29810.39999999106},""timestamp"":29810.39999999106},{""type"":""chart_leave"",""data"":{""timestamp"":35267.79999999702},""timestamp"":35267.79999999702}]",0.0-8.0,682c3f62f2680e9a67130379,,2,,,true,100,,,,1,50230.89999999106,,,,,,917998,32897.90000000596,18,,,City A,8,prediction-task,,,,,,true
,,,,,,,,,,,,,,0.0-9.0,682c3f62f2680e9a67130379,,,,,,,,0,,,6517,,,,"
			<div class=""section-intro"">
				<h2>Trust & Experience Assessment</h2>
				<p>Thank you for completing the prediction tasks!</p>
				<p>Now we'd like to understand your experience with the forecast visualization you just used.</p>
			</div>
		",,924521,,,,,,9,html-button-response,,,,,,
