city_a_estimate,city_b_estimate,click_events,comprehension_ease,condition,condition_id,condition_name,confidence_label,confidence_rating,data_trust,display_format,end_time,failed_audio,failed_images,failed_video,hover_events,interaction_log,internal_node_id,participant_id,percent_score,phase,phase1_complete,phase2_complete,predictions_shown,probability_estimate,question_order,response,responses,round,rt,rt_total,skeptical_rating,slider_moved,start_time,stimulus,success,time_elapsed,time_on_viz,timeout,total_interactions,total_questions,total_score,travel_choice,trial_index,trial_type,trust_composite,usability_composite,usability_difficulty,view_history,visualization_literacy_score,visualization_shown
,,,,,,,,,,,,"[]","[]","[]",,,0.0-0.0,5e0e1b8800a6bf000a694f79,,,,,,,,,,,,,,,,,true,302,,false,,,,,0,preload,,,,,,
,,,,,,,,,,,,,,,,,0.0-1.0,5e0e1b8800a6bf000a694f79,,,,,,,,0,,,13037,,,,,"
	        <div class=""welcome-screen"">
	            <h1>Air Quality Prediction Study</h1>
	            <p>Welcome! You are about to participate in a research study about how people make decisions using air quality predictions. This study examines how different ways of presenting prediction information affect trust and decision-making. The study will take approximately 15 minutes.</p>
	            <div class=""study-info"">
	                <h3>What you'll do:</h3>
	                <ul>
	                    <li>Complete a brief assessment of visualization understanding</li>
	                    <li>Make predictions about air quality in two cities</li>
	                    <li>Answer questions about your confidence and trust</li>
						<li>Report basic demographic data</li>
	                </ul>
	            </div>
	        </div>
	    ",,13340,,,,,,,1,html-button-response,,,,,,
,,,,,,,,,,,,,,,,,0.0-2.0,5e0e1b8800a6bf000a694f79,,,,,,,,,,,7650,,,,,,true,22000,,,,,,,2,fullscreen,,,,,,
,,,,,,,,,,,,,,,,,0.0-3.0,5e0e1b8800a6bf000a694f79,,,,,,,,"{""participant_id"":""5e0e1b8800a6bf000a694f79""}",,,4492,,,,,,,26519,,,,,,,3,survey-text,,,,,,
,,,,,,,,,,,,,,,,,0.0-4.0,5e0e1b8800a6bf000a694f79,,,,,,,,0,,,2033,,,,,"
	        <div class=""consent-form"">
	            <h2>Consent Form</h2>
	            <div class=""consent-header"">
	                <p><strong>Principal Investigator:</strong> Dr. Cindy Xiong Bearfield, Assistant Professor</p>
	                <p><strong>Study Title:</strong> Trusting What We See: Effect of Interactivity in Visual Data Analysis</p>
	                <p><strong>Supported By:</strong> Georgia Institute of Technology</p>
	            </div>
	            
	            <div class=""consent-details"">
	                <h3>WHAT IS THIS FORM?</h3>
	                <p>This form is called a Consent Form. It will give you information about the study so you can make an informed decision about participation in this research. We encourage you to take some time to think this over and ask questions now and at any other time. If you decide to participate, you will be asked to sign this form and you will be given a copy for your records.</p>

	                <h3>WHAT ARE SOME OF THE IMPORTANT ASPECTS OF THIS RESEARCH STUDY THAT I SHOULD BE AWARE OF?</h3>
	                <ul>
	                    <li>Whether or not you take part is up to you.</li>
	                    <li>You can choose not to take part.</li>
	                    <li>You can agree to take part and later change your mind.</li>
	                    <li>Your decision will not be held against you.</li>
	                </ul>

	                <h3>WHY ARE WE DOING THIS RESEARCH STUDY?</h3>
	                <p>The purpose of our study is to explore the visualization design space so we can understand how people perceive, interpret, and make decisions from visualizations. The results from this study can help us design visualizations and visualization guidelines to help people better communicate and understand data.</p>

	                <h3>WHO CAN PARTICIPATE IN THIS RESEARCH STUDY?</h3>
	                <p>Participants in this study must be at least 18 years of age or older and have general familiarity with using web-based systems. Participants currently outside of the U.S. cannot participate in this study (e.g. in the European Union or China).</p>

	                <h3>WHAT COMPENSATION I WILL RECEIVE?</h3>
	                <p>You will receive payment through Prolific worth $12/hour for participating in this study. We expect this study to take less than 20 minutes. Your participation is entirely voluntary. You are free to withdraw at any time, and if you do, you will receive partial payment for your time.</p>

	                <h3>HOW MANY PEOPLE WILL PARTICIPATE?</h3>
	                <p>We expect about 200 people will be in this research study.</p>

	                <h3>WHAT WILL I BE ASKED TO DO AND HOW MUCH TIME WILL IT TAKE?</h3>
	                <p>We will show you several data visualizations or components of a visualization and ask you to perform a visual task with the visualization on a computer screen, such as counting, searching, recognizing, memorizing, or describing the information presented to you. We may also ask you to fill out questionnaires concerning your thoughts regarding the visualization you saw. We expect that you will be in this research study to take between 15 and 60 minutes. We expect this study to be a one-off session and will not contact you regarding the study itself in the future.</p>

	                <h3>WILL BEING IN THIS RESEARCH STUDY HELP ME IN ANY WAY?</h3>
	                <p>You are not likely to have any direct benefit from being in this research study. The potential benefits to you from participation may include learning about how data visualization research is conducted, and you may learn about issues of current interest in data visualization and psychology.</p>

	                <h3>WHAT ARE MY RISKS OF BEING IN THIS RESEARCH STUDY?</h3>
	                <p>Your participation in this study does not involve any risks other than what you would encounter in daily life. In particular, you may experience fatigue or boredom, however, you may take breaks between tasks. The effects of participating should be comparable to those you would experience from viewing a computer monitor and using a keyboard. You may withdraw at any time.</p>

	                <h3>HOW WILL MY PERSONAL INFORMATION BE PROTECTED?</h3>
	                <p>We will comply with any applicable laws and regulations regarding confidentiality. To make sure that this research is being carried out in the proper way, the Georgia Institute of Technology IRB may review study records. The Office of Human Research Protections may also look at study records.</p>
	                <p>Efforts will be made to limit the use and disclosure of your personal information, including research study records, to people who need to review this information. We cannot promise complete secrecy. Organizations that may inspect and copy your information include the IRB and other representatives of this institution. Please be notified that our data privacy policy is based on U.S. regulations. Participants who are out of the U.S. might be excluded due to different data privacy requirements.</p>
	                <p><strong>Data Sharing:</strong> De-identified data from this study will be shared among the GATech research team, as well as the research community at large to advance science and health. We will remove or code any personal information that could identify you before files are shared with other researchers to ensure that, by current scientific standards and known methods, no one will be able to identify you from the information we share. Despite these measures, we cannot guarantee the anonymity of your personal data.</p>

	                <h3>WILL I BE GIVEN ANY MONEY OR OTHER COMPENSATION FOR BEING IN THIS RESEARCH STUDY?</h3>
	                <p>If you agree to take part in this research study, we will provide compensation. You will be paid in accordance with the stated policies of Amazon Mechanical Turk and/or Prolific.com. Payment will be made upon completion and acceptance of tasks that you have agreed to complete and you will be paid via Mechanical Turk or Prolific.com. If you choose to withdraw from the study, you will not be compensated for your participation.</p>

	                <h3>WHAT ELSE DO I NEED TO KNOW?</h3>
	                <p>We might be using attention check questions in our surveys. If you miss 2 or more attention check questions, your HIT will not be accepted and you will not be compensated.</p>

	                <h3>WHO CAN I TALK TO IF I HAVE QUESTIONS?</h3>
	                <p>If you have any questions about the content of this research project, you may contact Dr. Cindy Xiong Bearfield at cxiong@gatech.edu, or contact Songwen Hu at shu343@gatech.edu. If you have any questions about your rights as a research subject, you may also contact Georgia Institute of Technology Office of Research Integrity Assurance at IRB@gatech.edu.</p>

	                <h3>WHAT HAPPENS IF I SAY YES, BUT I CHANGE MY MIND LATER?</h3>
	                <p>You can decide not to participate in this research or you can start and then decide to leave the research at any time and it will not be held against you. To do so, simply exit the experiment. Any data already collected will not be saved.</p>

	                <p><strong>By clicking ""I agree"" below you are indicating that you are at least 18 years old, currently in the U.S., have read this consent form, and agree to participate in this research study. Please print a copy of this page for your records.</strong></p>
	            </div>
	        </div>
	    ",,28553,,,,,,,4,html-button-response,,,,,,
,,,,,,,,,,,,,,,,,0.0-5.0,5e0e1b8800a6bf000a694f79,,,,,,,,0,,,1902,,,,,"
	        <div class=""vis-literacy-intro"">
	            <h2>Visualization Assessment</h2>
	            <p>Before we begin the main study, we'd like to assess your ability to read and interpret data visualizations.</p>
	            
	            <div class=""assessment-info"">
	                <h3>What you'll do:</h3>
	                <ul>
	                    <li>View 12 different data visualizations (charts and graphs)</li>
	                    <li>Answer questions about what each visualization shows</li>
	                    <li>Take your time to examine each chart carefully</li>
	                </ul>
	                
	                <p><strong>This assessment will take approximately 5-10 minutes.</strong></p>
	                <p>There are no right or wrong interpretations - we're interested in how you read visualizations.</p>
	            </div>
	        </div>
	    ",,30456,,,,,,,5,html-button-response,,,,,,
,,,,,condition_1_baseline,Baseline,,,,,,,,,,,0.0-6.0,5e0e1b8800a6bf000a694f79,92,,,,,,,,"[{""question_id"":""minivlat_1"",""question_type"":""treemap"",""question_text"":""eBay is nested in the Software category."",""response"":1,""correct_answer"":1,""is_correct"":true,""rt"":11600},{""question_id"":""minivlat_2"",""question_type"":""stacked_100_bar"",""question_text"":""Which country has the lowest proportion of Gold medals?"",""response"":1,""correct_answer"":1,""is_correct"":true,""rt"":11994},{""question_id"":""minivlat_3"",""question_type"":""histogram"",""question_text"":""What distance have customers traveled the most?"",""response"":1,""correct_answer"":1,""is_correct"":true,""rt"":15785},{""question_id"":""minivlat_4"",""question_type"":""choropleth"",""question_text"":""In 2020, the unemployment rate for Washington (WA) was higher than that of Wisconsin (WI)."",""response"":0,""correct_answer"":0,""is_correct"":true,""rt"":17297},{""question_id"":""minivlat_5"",""question_type"":""pie_chart"",""question_text"":""What is the approximate global smartphone market share of Samsung?"",""response"":0,""correct_answer"":0,""is_correct"":true,""rt"":25531},{""question_id"":""minivlat_6"",""question_type"":""bubble_chart"",""question_text"":""Which has the largest number of metro stations?"",""response"":1,""correct_answer"":1,""is_correct"":true,""rt"":18864},{""question_id"":""minivlat_7"",""question_type"":""stacked_bar"",""question_text"":""What is the cost of peanuts in Seoul?"",""response"":3,""correct_answer"":1,""is_correct"":false,""rt"":15841},{""question_id"":""minivlat_8"",""question_type"":""line_chart"",""question_text"":""What was the price of a barrel of oil in February 2020?"",""response"":0,""correct_answer"":0,""is_correct"":true,""rt"":10882},{""question_id"":""minivlat_9"",""question_type"":""bar_chart"",""question_text"":""What is the average internet speed in Japan?"",""response"":1,""correct_answer"":1,""is_correct"":true,""rt"":17459},{""question_id"":""minivlat_10"",""question_type"":""area_chart"",""question_text"":""What was the average price of a pound of coffee in October 2019?"",""response"":0,""correct_answer"":0,""is_correct"":true,""rt"":19985},{""question_id"":""minivlat_11"",""question_type"":""stacked_area"",""question_text"":""What was the ratio of girls named \""Isla\"" to girls named \""Amelia\"" in 2012 in the UK?"",""response"":1,""correct_answer"":1,""is_correct"":true,""rt"":28746},{""question_id"":""minivlat_12"",""question_type"":""scatter_plot"",""question_text"":""There is a negative relationship between the height and weight of the 85 males."",""response"":1,""correct_answer"":1,""is_correct"":true,""rt"":8982}]",,,202966,,,,,,233424,,,,12,11,,6,vis-literacy,,,,,,
,,,,,,,,,,,,,,,,,0.0-7.0,5e0e1b8800a6bf000a694f79,,,,,,,,,,,129194,,,,,,,362619,,,,,,,7,instructions,,,,"[{""page_index"":0,""viewing_time"":129194}]",,
