city_a_estimate,city_b_estimate,click_events,comprehension_ease,condition,condition_id,condition_name,confidence_label,confidence_rating,data_trust,display_format,end_time,failed_audio,failed_images,failed_video,hover_events,interaction_log,internal_node_id,participant_id,percent_score,phase,phase1_complete,phase2_complete,predictions_shown,probability_estimate,question_order,response,responses,round,rt,rt_total,skeptical_rating,slider_moved,start_time,stimulus,success,time_elapsed,time_on_viz,timeout,total_interactions,total_questions,total_score,travel_choice,trial_index,trial_type,trust_composite,usability_composite,usability_difficulty,view_history,visualization_literacy_score,visualization_shown
,,,,,,,,,,,,"[]","[]","[]",,,0.0-0.0,64560bd205fd539c22bc0b37,,,,,,,,,,,,,,,,,true,638,,false,,,,,0,preload,,,,,,
,,,,,,,,,,,,,,,,,0.0-1.0,64560bd205fd539c22bc0b37,,,,,,,,0,,,1481,,,,,"
	        <div class=""welcome-screen"">
	            <h1>Air Quality Prediction Study</h1>
	            <p>Welcome! You are about to participate in a research study about how people make decisions using air quality predictions. This study examines how different ways of presenting prediction information affect trust and decision-making. The study will take approximately 15 minutes.</p>
	            <div class=""study-info"">
	                <h3>What you'll do:</h3>
	                <ul>
	                    <li>Complete a brief assessment of visualization understanding</li>
	                    <li>Make predictions about air quality in two cities</li>
	                    <li>Answer questions about your confidence and trust</li>
						<li>Report basic demographic data</li>
	                </ul>
	            </div>
	        </div>
	    ",,2122,,,,,,,1,html-button-response,,,,,,
,,,,,,,,,,,,,,,,,0.0-2.0,64560bd205fd539c22bc0b37,,,,,,,,,,,1759,,,,,,true,4884,,,,,,,2,fullscreen,,,,,,
,,,,,,,,,,,,,,,,,0.0-3.0,64560bd205fd539c22bc0b37,,,,,,,,"{""participant_id"":""64560bd205fd539c22bc0b37""}",,,6451,,,,,,,11337,,,,,,,3,survey-text,,,,,,
,,,,,,,,,,,,,,,,,0.0-4.0,64560bd205fd539c22bc0b37,,,,,,,,0,,,2447,,,,,"
	        <div class=""consent-form"">
	            <h2>Consent Form</h2>
	            <div class=""consent-header"">
	                <p><strong>Principal Investigator:</strong> Dr. Cindy Xiong Bearfield, Assistant Professor</p>
	                <p><strong>Study Title:</strong> Trusting What We See: Effect of Interactivity in Visual Data Analysis</p>
	                <p><strong>Supported By:</strong> Georgia Institute of Technology</p>
	            </div>
	            
	            <div class=""consent-details"">
	                <h3>WHAT IS THIS FORM?</h3>
	                <p>This form is called a Consent Form. It will give you information about the study so you can make an informed decision about participation in this research. We encourage you to take some time to think this over and ask questions now and at any other time. If you decide to participate, you will be asked to sign this form and you will be given a copy for your records.</p>

	                <h3>WHAT ARE SOME OF THE IMPORTANT ASPECTS OF THIS RESEARCH STUDY THAT I SHOULD BE AWARE OF?</h3>
	                <ul>
	                    <li>Whether or not you take part is up to you.</li>
	                    <li>You can choose not to take part.</li>
	                    <li>You can agree to take part and later change your mind.</li>
	                    <li>Your decision will not be held against you.</li>
	                </ul>

	                <h3>WHY ARE WE DOING THIS RESEARCH STUDY?</h3>
	                <p>The purpose of our study is to explore the visualization design space so we can understand how people perceive, interpret, and make decisions from visualizations. The results from this study can help us design visualizations and visualization guidelines to help people better communicate and understand data.</p>

	                <h3>WHO CAN PARTICIPATE IN THIS RESEARCH STUDY?</h3>
	                <p>Participants in this study must be at least 18 years of age or older and have general familiarity with using web-based systems. Participants currently outside of the U.S. cannot participate in this study (e.g. in the European Union or China).</p>

	                <h3>WHAT COMPENSATION I WILL RECEIVE?</h3>
	                <p>You will receive payment through Prolific worth $12/hour for participating in this study. We expect this study to take less than 20 minutes. Your participation is entirely voluntary. You are free to withdraw at any time, and if you do, you will receive partial payment for your time.</p>

	                <h3>HOW MANY PEOPLE WILL PARTICIPATE?</h3>
	                <p>We expect about 200 people will be in this research study.</p>

	                <h3>WHAT WILL I BE ASKED TO DO AND HOW MUCH TIME WILL IT TAKE?</h3>
	                <p>We will show you several data visualizations or components of a visualization and ask you to perform a visual task with the visualization on a computer screen, such as counting, searching, recognizing, memorizing, or describing the information presented to you. We may also ask you to fill out questionnaires concerning your thoughts regarding the visualization you saw. We expect that you will be in this research study to take between 15 and 60 minutes. We expect this study to be a one-off session and will not contact you regarding the study itself in the future.</p>

	                <h3>WILL BEING IN THIS RESEARCH STUDY HELP ME IN ANY WAY?</h3>
	                <p>You are not likely to have any direct benefit from being in this research study. The potential benefits to you from participation may include learning about how data visualization research is conducted, and you may learn about issues of current interest in data visualization and psychology.</p>

	                <h3>WHAT ARE MY RISKS OF BEING IN THIS RESEARCH STUDY?</h3>
	                <p>Your participation in this study does not involve any risks other than what you would encounter in daily life. In particular, you may experience fatigue or boredom, however, you may take breaks between tasks. The effects of participating should be comparable to those you would experience from viewing a computer monitor and using a keyboard. You may withdraw at any time.</p>

	                <h3>HOW WILL MY PERSONAL INFORMATION BE PROTECTED?</h3>
	                <p>We will comply with any applicable laws and regulations regarding confidentiality. To make sure that this research is being carried out in the proper way, the Georgia Institute of Technology IRB may review study records. The Office of Human Research Protections may also look at study records.</p>
	                <p>Efforts will be made to limit the use and disclosure of your personal information, including research study records, to people who need to review this information. We cannot promise complete secrecy. Organizations that may inspect and copy your information include the IRB and other representatives of this institution. Please be notified that our data privacy policy is based on U.S. regulations. Participants who are out of the U.S. might be excluded due to different data privacy requirements.</p>
	                <p><strong>Data Sharing:</strong> De-identified data from this study will be shared among the GATech research team, as well as the research community at large to advance science and health. We will remove or code any personal information that could identify you before files are shared with other researchers to ensure that, by current scientific standards and known methods, no one will be able to identify you from the information we share. Despite these measures, we cannot guarantee the anonymity of your personal data.</p>

	                <h3>WILL I BE GIVEN ANY MONEY OR OTHER COMPENSATION FOR BEING IN THIS RESEARCH STUDY?</h3>
	                <p>If you agree to take part in this research study, we will provide compensation. You will be paid in accordance with the stated policies of Amazon Mechanical Turk and/or Prolific.com. Payment will be made upon completion and acceptance of tasks that you have agreed to complete and you will be paid via Mechanical Turk or Prolific.com. If you choose to withdraw from the study, you will not be compensated for your participation.</p>

	                <h3>WHAT ELSE DO I NEED TO KNOW?</h3>
	                <p>We might be using attention check questions in our surveys. If you miss 2 or more attention check questions, your HIT will not be accepted and you will not be compensated.</p>

	                <h3>WHO CAN I TALK TO IF I HAVE QUESTIONS?</h3>
	                <p>If you have any questions about the content of this research project, you may contact Dr. Cindy Xiong Bearfield at cxiong@gatech.edu, or contact Songwen Hu at shu343@gatech.edu. If you have any questions about your rights as a research subject, you may also contact Georgia Institute of Technology Office of Research Integrity Assurance at IRB@gatech.edu.</p>

	                <h3>WHAT HAPPENS IF I SAY YES, BUT I CHANGE MY MIND LATER?</h3>
	                <p>You can decide not to participate in this research or you can start and then decide to leave the research at any time and it will not be held against you. To do so, simply exit the experiment. Any data already collected will not be saved.</p>

	                <p><strong>By clicking ""I agree"" below you are indicating that you are at least 18 years old, currently in the U.S., have read this consent form, and agree to participate in this research study. Please print a copy of this page for your records.</strong></p>
	            </div>
	        </div>
	    ",,13785,,,,,,,4,html-button-response,,,,,,
,,,,,,,,,,,,,,,,,0.0-5.0,64560bd205fd539c22bc0b37,,,,,,,,0,,,5295,,,,,"
	        <div class=""vis-literacy-intro"">
	            <h2>Visualization Assessment</h2>
	            <p>Before we begin the main study, we'd like to assess your ability to read and interpret data visualizations.</p>
	            
	            <div class=""assessment-info"">
	                <h3>What you'll do:</h3>
	                <ul>
	                    <li>View 12 different data visualizations (charts and graphs)</li>
	                    <li>Answer questions about what each visualization shows</li>
	                    <li>Take your time to examine each chart carefully</li>
	                </ul>
	                
	                <p><strong>This assessment will take approximately 5-10 minutes.</strong></p>
	                <p>There are no right or wrong interpretations - we're interested in how you read visualizations.</p>
	            </div>
	        </div>
	    ",,19080,,,,,,,5,html-button-response,,,,,,
,,,,,condition_4_ensemble_hover,Ensemble + Hover,,,,,,,,,,,0.0-6.0,64560bd205fd539c22bc0b37,75,,,,,,,,"[{""question_id"":""minivlat_1"",""question_type"":""treemap"",""question_text"":""eBay is nested in the Software category."",""response"":1,""correct_answer"":1,""is_correct"":true,""rt"":13343.400000000373},{""question_id"":""minivlat_2"",""question_type"":""stacked_100_bar"",""question_text"":""Which country has the lowest proportion of Gold medals?"",""response"":1,""correct_answer"":1,""is_correct"":true,""rt"":30711.700000000186},{""question_id"":""minivlat_3"",""question_type"":""histogram"",""question_text"":""What distance have customers traveled the most?"",""response"":1,""correct_answer"":1,""is_correct"":true,""rt"":16951.89999999944},{""question_id"":""minivlat_4"",""question_type"":""choropleth"",""question_text"":""In 2020, the unemployment rate for Washington (WA) was higher than that of Wisconsin (WI)."",""response"":0,""correct_answer"":0,""is_correct"":true,""rt"":24720},{""question_id"":""minivlat_5"",""question_type"":""pie_chart"",""question_text"":""What is the approximate global smartphone market share of Samsung?"",""response"":1,""correct_answer"":0,""is_correct"":false,""rt"":70255.60000000056},{""question_id"":""minivlat_6"",""question_type"":""bubble_chart"",""question_text"":""Which has the largest number of metro stations?"",""response"":1,""correct_answer"":1,""is_correct"":true,""rt"":28439.89999999944},{""question_id"":""minivlat_7"",""question_type"":""stacked_bar"",""question_text"":""What is the cost of peanuts in Seoul?"",""response"":0,""correct_answer"":1,""is_correct"":false,""rt"":25111.900000000373},{""question_id"":""minivlat_8"",""question_type"":""line_chart"",""question_text"":""What was the price of a barrel of oil in February 2020?"",""response"":0,""correct_answer"":0,""is_correct"":true,""rt"":11495.799999999814},{""question_id"":""minivlat_9"",""question_type"":""bar_chart"",""question_text"":""What is the average internet speed in Japan?"",""response"":1,""correct_answer"":1,""is_correct"":true,""rt"":18304.200000000186},{""question_id"":""minivlat_10"",""question_type"":""area_chart"",""question_text"":""What was the average price of a pound of coffee in October 2019?"",""response"":0,""correct_answer"":0,""is_correct"":true,""rt"":21935.799999999814},{""question_id"":""minivlat_11"",""question_type"":""stacked_area"",""question_text"":""What was the ratio of girls named \""Isla\"" to girls named \""Amelia\"" in 2012 in the UK?"",""response"":4,""correct_answer"":1,""is_correct"":false,""rt"":41807.799999999814},{""question_id"":""minivlat_12"",""question_type"":""scatter_plot"",""question_text"":""There is a negative relationship between the height and weight of the 85 males."",""response"":1,""correct_answer"":1,""is_correct"":true,""rt"":23583.900000000373}]",,,326661.9000000004,,,,,,345739,,,,12,9,,6,vis-literacy,,,,,,
,,,,,,,,,,,,,,,,,0.0-7.0,64560bd205fd539c22bc0b37,,,,,,,,,,,10247,,,,,,,355987,,,,,,,7,instructions,,,,"[{""page_index"":0,""viewing_time"":10247}]",,
90,84,,,,condition_0_historical,Historical Only,Certain,6,,historical_only,,,,,,"[{""type"":""chart_enter"",""data"":{""timestamp"":428.6000000005588},""timestamp"":428.70000000018626},{""type"":""chart_hover"",""data"":{""x"":887,""y"":454,""timestamp"":471.6000000005588},""timestamp"":471.6000000005588},{""type"":""chart_hover"",""data"":{""x"":887,""y"":455,""timestamp"":488.70000000018626},""timestamp"":488.70000000018626},{""type"":""chart_hover"",""data"":{""x"":887,""y"":456,""timestamp"":496.29999999981374},""timestamp"":496.29999999981374},{""type"":""chart_hover"",""data"":{""x"":886,""y"":458,""timestamp"":512.7000000001863},""timestamp"":512.7999999998137},{""type"":""chart_hover"",""data"":{""x"":884,""y"":462,""timestamp"":528.4000000003725},""timestamp"":528.4000000003725},{""type"":""chart_hover"",""data"":{""x"":883,""y"":470,""timestamp"":582.6000000005588},""timestamp"":582.6000000005588},{""type"":""chart_hover"",""data"":{""x"":883,""y"":472,""timestamp"":785.2000000001863},""timestamp"":785.2000000001863},{""type"":""chart_hover"",""data"":{""x"":883,""y"":474,""timestamp"":808.6000000005588},""timestamp"":808.6000000005588},{""type"":""chart_hover"",""data"":{""x"":883,""y"":476,""timestamp"":845.4000000003725},""timestamp"":845.4000000003725},{""type"":""chart_hover"",""data"":{""x"":883,""y"":478,""timestamp"":862.5},""timestamp"":862.5},{""type"":""chart_hover"",""data"":{""x"":882,""y"":480,""timestamp"":879},""timestamp"":879},{""type"":""chart_hover"",""data"":{""x"":881,""y"":480,""timestamp"":1009.2000000001863},""timestamp"":1009.2000000001863},{""type"":""chart_hover"",""data"":{""x"":881,""y"":481,""timestamp"":1016.7999999998137},""timestamp"":1016.7999999998137},{""type"":""chart_hover"",""data"":{""x"":883,""y"":481,""timestamp"":1032.7999999998137},""timestamp"":1032.7999999998137},{""type"":""chart_hover"",""data"":{""x"":885,""y"":483,""timestamp"":1045.7999999998137},""timestamp"":1045.7999999998137},{""type"":""chart_hover"",""data"":{""x"":892,""y"":485,""timestamp"":1062.4000000003725},""timestamp"":1062.4000000003725},{""type"":""chart_hover"",""data"":{""x"":900,""y"":487,""timestamp"":1079.4000000003725},""timestamp"":1079.4000000003725},{""type"":""chart_hover"",""data"":{""x"":909,""y"":492,""timestamp"":1095.7000000001863},""timestamp"":1095.7000000001863},{""type"":""chart_hover"",""data"":{""x"":918,""y"":495,""timestamp"":1112.4000000003725},""timestamp"":1112.4000000003725},{""type"":""chart_hover"",""data"":{""x"":923,""y"":496,""timestamp"":1128.9000000003725},""timestamp"":1128.9000000003725},{""type"":""chart_hover"",""data"":{""x"":928,""y"":499,""timestamp"":1145.6000000005588},""timestamp"":1145.7000000001863},{""type"":""chart_hover"",""data"":{""x"":934,""y"":501,""timestamp"":1162.6000000005588},""timestamp"":1162.6000000005588},{""type"":""chart_hover"",""data"":{""x"":940,""y"":502,""timestamp"":1179.2999999998137},""timestamp"":1179.2999999998137},{""type"":""chart_hover"",""data"":{""x"":944,""y"":504,""timestamp"":1195.9000000003725},""timestamp"":1195.9000000003725},{""type"":""chart_hover"",""data"":{""x"":949,""y"":506,""timestamp"":1212.6000000005588},""timestamp"":1212.6000000005588},{""type"":""chart_hover"",""data"":{""x"":951,""y"":507,""timestamp"":1229.2999999998137},""timestamp"":1229.2999999998137},{""type"":""chart_hover"",""data"":{""x"":952,""y"":508,""timestamp"":1246},""timestamp"":1246.1000000005588},{""type"":""chart_hover"",""data"":{""x"":953,""y"":511,""timestamp"":1262.7999999998137},""timestamp"":1262.7999999998137},{""type"":""chart_hover"",""data"":{""x"":955,""y"":513,""timestamp"":1279.2999999998137},""timestamp"":1279.2999999998137},{""type"":""chart_hover"",""data"":{""x"":956,""y"":515,""timestamp"":1295.9000000003725},""timestamp"":1295.9000000003725},{""type"":""chart_hover"",""data"":{""x"":959,""y"":519,""timestamp"":1312.7000000001863},""timestamp"":1312.7000000001863},{""type"":""chart_hover"",""data"":{""x"":960,""y"":521,""timestamp"":1329.1000000005588},""timestamp"":1329.1000000005588},{""type"":""chart_hover"",""data"":{""x"":961,""y"":521,""timestamp"":1346},""timestamp"":1346.1000000005588},{""type"":""chart_hover"",""data"":{""x"":961,""y"":522,""timestamp"":1448.7999999998137},""timestamp"":1448.7999999998137},{""type"":""chart_hover"",""data"":{""x"":962,""y"":523,""timestamp"":1505.4000000003725},""timestamp"":1505.4000000003725},{""type"":""chart_hover"",""data"":{""x"":962,""y"":524,""timestamp"":1849.2000000001863},""timestamp"":1849.2000000001863},{""type"":""chart_hover"",""data"":{""x"":962,""y"":525,""timestamp"":1863.4000000003725},""timestamp"":1863.4000000003725},{""type"":""chart_hover"",""data"":{""x"":963,""y"":527,""timestamp"":1879.9000000003725},""timestamp"":1879.9000000003725},{""type"":""chart_hover"",""data"":{""x"":963,""y"":528,""timestamp"":1896.5},""timestamp"":1896.5},{""type"":""chart_hover"",""data"":{""x"":964,""y"":529,""timestamp"":2000.9000000003725},""timestamp"":2000.9000000003725},{""type"":""chart_hover"",""data"":{""x"":964,""y"":530,""timestamp"":2046.4000000003725},""timestamp"":2046.4000000003725},{""type"":""chart_hover"",""data"":{""x"":964,""y"":531,""timestamp"":2063.2999999998137},""timestamp"":2063.2999999998137},{""type"":""chart_hover"",""data"":{""x"":964,""y"":533,""timestamp"":2079.7999999998137},""timestamp"":2079.7999999998137},{""type"":""chart_hover"",""data"":{""x"":964,""y"":536,""timestamp"":2096.5},""timestamp"":2096.5},{""type"":""chart_hover"",""data"":{""x"":964,""y"":540,""timestamp"":2113},""timestamp"":2113.100000000559},{""type"":""chart_hover"",""data"":{""x"":964,""y"":546,""timestamp"":2129.9000000003725},""timestamp"":2129.9000000003725},{""type"":""chart_hover"",""data"":{""x"":962,""y"":553,""timestamp"":2146.600000000559},""timestamp"":2146.600000000559},{""type"":""chart_hover"",""data"":{""x"":958,""y"":561,""timestamp"":2163.4000000003725},""timestamp"":2163.4000000003725},{""type"":""chart_hover"",""data"":{""x"":957,""y"":564,""timestamp"":2180.100000000559},""timestamp"":2180.100000000559},{""type"":""chart_hover"",""data"":{""x"":955,""y"":566,""timestamp"":2196.7999999998137},""timestamp"":2196.7999999998137},{""type"":""chart_hover"",""data"":{""x"":955,""y"":567,""timestamp"":2213.5},""timestamp"":2213.5},{""type"":""chart_hover"",""data"":{""x"":955,""y"":568,""timestamp"":2353},""timestamp"":2353},{""type"":""chart_hover"",""data"":{""x"":955,""y"":570,""timestamp"":2363.5},""timestamp"":2363.5},{""type"":""chart_hover"",""data"":{""x"":955,""y"":571,""timestamp"":2380.2000000001863},""timestamp"":2380.2000000001863},{""type"":""chart_hover"",""data"":{""x"":955,""y"":572,""timestamp"":2408.5},""timestamp"":2408.5},{""type"":""chart_hover"",""data"":{""x"":955,""y"":573,""timestamp"":2416.600000000559},""timestamp"":2416.600000000559},{""type"":""chart_hover"",""data"":{""x"":955,""y"":575,""timestamp"":2430.2999999998137},""timestamp"":2430.2999999998137},{""type"":""chart_hover"",""data"":{""x"":953,""y"":587,""timestamp"":2446.7000000001863},""timestamp"":2446.7000000001863},{""type"":""chart_leave"",""data"":{""timestamp"":2463.600000000559},""timestamp"":2463.600000000559}]",0.0-8.0,64560bd205fd539c22bc0b37,,1,,,false,84,,,,1,85455.60000000056,,,true,,,,441442,,,60,,,City A,8,prediction-task,,,,,,true
100,98,0,,,condition_4_ensemble_hover,Ensemble + Hover,Somewhat Certain,5,,hover_alternatives,,,,,0,"[]",0.0-9.0,64560bd205fd539c22bc0b37,,2,,,true,90,,,,1,70198.29999999981,,,true,,,,511639,0,,0,,,City A,9,prediction-task,,,,,,true
